Entrez ID	Symbol	Name	Gene Family	Type	RNA-Seq Correlation	RNA-Seq Correlation Self-Rank
9099	USP2	ubiquitin specific peptidase 2	Ubiquitin specific peptidases	best inferred	0.82	0.00
9096	TBX18	T-box 18	T-boxes	not inferred		
9097	USP14	ubiquitin specific peptidase 14	Ubiquitin specific peptidases	landmark		
114836	SLAMF6	SLAM family member 6	CD molecules, V-set domain containing, Immunoglobulin like domain containing	not inferred		
10767	HBS1L	HBS1 like translational GTPase		best inferred	0.83	0.00
57413	TMIGD3	transmembrane and immunoglobulin domain containing 3		not inferred		
100996365	LOC100996365	putative uncharacterized protein FLJ44672		not inferred		
10766	TOB2	transducer of ERBB2, 2	BTG/Tob family	best inferred	0.73	0.00
57414	RHBDD2	rhomboid domain containing 2	Rhomboid family	not inferred		
10769	PLK2	polo like kinase 2		best inferred	0.65	0.00
57415	C3orf14	chromosome 3 open reading frame 14		best inferred	0.73	0.00
151835	CPNE9	copine family member 9	Copines	not inferred		
10768	AHCYL1	adenosylhomocysteinase like 1	Protein phosphatase 1 regulatory subunits	best inferred	0.76	0.00
389405	LOC389405	notch 5-like		not inferred		
9091	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q	Phosphatidylinositol glycan anchor biosynthesis	best inferred	0.63	0.00
57410	SCYL1	SCY1 like pseudokinase 1	SCY1 like pseudokinases	not inferred		
389400	GFRAL	GDNF family receptor alpha like		not inferred		
57412	AS3MT	arsenite methyltransferase	Seven-beta-strand methyltransferase motif containing	not inferred		
10761	PLAC1	placenta specific 1		inferred	0.22	0.11
10763	NES	nestin	Intermediate filaments Type IV	best inferred	0.79	0.00
10762	NUP50	nucleoporin 50	Nucleoporins	best inferred	0.79	0.00
57418	WDR18	WD repeat domain 18	WD repeat domain containing, 5FMC ribosome biogenesis complex	best inferred	0.68	0.00
10765	KDM5B	lysine demethylase 5B	PHD finger proteins, AT-rich interaction domain containing, Lysine demethylases	landmark		
57419	SLC24A3	solute carrier family 24 member 3	Solute carriers	best inferred	0.64	0.00
101930165	LOC101930165	RNA polymerase II transcription factor SIII subunit A3-like		not inferred		
390431	OR4K2	olfactory receptor family 4 subfamily K member 2	Olfactory receptors, family 4	not inferred		
390432	OR4Q2	olfactory receptor family 4 subfamily Q member 2 (gene/pseudogene)	Olfactory receptors, family 4	not inferred		
390433	OR4K13	olfactory receptor family 4 subfamily K member 13	Olfactory receptors, family 4	not inferred		
339105	PRSS53	protease, serine 53	Proteases, serine	best inferred	0.39	0.01
390436	OR4K17	olfactory receptor family 4 subfamily K member 17	Olfactory receptors, family 4	not inferred		
83707	TRPT1	tRNA phosphotransferase 1		not inferred		
390437	OR4N5	olfactory receptor family 4 subfamily N member 5	Olfactory receptors, family 4	not inferred		
83706	FERMT3	fermitin family member 3	Fermitins, Pleckstrin homology domain containing, FERM domain containing	not inferred		
10734	STAG3	stromal antigen 3	Cohesin complex	best inferred	0.49	0.01
390439	OR11G2	olfactory receptor family 11 subfamily G member 2	Olfactory receptors, family 11	not inferred		
10733	PLK4	polo like kinase 4		best inferred	0.65	0.00
341418	OR6C4	olfactory receptor family 6 subfamily C member 4	Olfactory receptors, family 6	not inferred		
10736	SIX2	SIX homeobox 2	SINE class homeoboxes	best inferred	0.56	0.00
83714	NRIP2	nuclear receptor interacting protein 2		best inferred	0.73	0.00
10735	STAG2	stromal antigen 2	Cohesin complex	best inferred	0.73	0.00
341416	OR6C2	olfactory receptor family 6 subfamily C member 2	Olfactory receptors, family 6	not inferred		
401647	GOLGA7B	golgin A7 family member B		not inferred		
10738	RFPL3	ret finger protein like 3		inferred	0.28	0.09
10739	RFPL2	ret finger protein like 2	Ring finger proteins	best inferred	0.40	0.03
389434	IYD	iodotyrosine deiodinase		not inferred		
376132	LRRC10	leucine rich repeat containing 10		not inferred		
10730	YME1L1	YME1 like 1 ATPase	AAA ATPases	landmark		
101930169	LOC101930169	putative PRAME family member 26		not inferred		
10732	TCFL5	transcription factor like 5	Basic helix-loop-helix proteins	landmark		
138804	OR13C4	olfactory receptor family 13 subfamily C member 4	Olfactory receptors, family 13	not inferred		
138805	OR13F1	olfactory receptor family 13 subfamily F member 1	Olfactory receptors, family 13	not inferred		
138802	OR13C8	olfactory receptor family 13 subfamily C member 8	Olfactory receptors, family 13	not inferred		
138803	OR13C3	olfactory receptor family 13 subfamily C member 3	Olfactory receptors, family 13	not inferred		
390441	OR11H7	olfactory receptor family 11 subfamily H member 7 (gene/pseudogene)	Olfactory receptors, family 11	not inferred		
353497	POLN	DNA polymerase nu	DNA polymerases	not inferred		
390442	OR11H4	olfactory receptor family 11 subfamily H member 4	Olfactory receptors, family 11	not inferred		
124222	PAQR4	progestin and adipoQ receptor family member 4	Progestin and adipoQ receptor family	best inferred	0.74	0.00
389432	SAMD5	sterile alpha motif domain containing 5	Sterile alpha motif domain containing	not inferred		
390443	RNASE9	ribonuclease A family member 9 (inactive)	Ribonuclease A family	not inferred		
114897	C1QTNF1	C1q and tumor necrosis factor related protein 1	C1q and TNF related	best inferred	0.89	0.00
114898	C1QTNF2	C1q and tumor necrosis factor related protein 2	C1q and TNF related	not inferred		
124220	ZG16B	zymogen granule protein 16B		not inferred		
390445	OR5AU1	olfactory receptor family 5 subfamily AU member 1	Olfactory receptors, family 5	not inferred		
114899	C1QTNF3	C1q and tumor necrosis factor related protein 3	C1q and TNF related	inferred	0.16	0.19
10745	PHTF1	putative homeodomain transcription factor 1		best inferred	0.77	0.00
56104	PCDHGB1	protocadherin gamma subfamily B, 1		not inferred		
10744	PTTG2	pituitary tumor-transforming 2		inferred	0.01	0.53
56105	PCDHGA11	protocadherin gamma subfamily A, 11		not inferred		
83700	JAM3	junctional adhesion molecule 3	V-set domain containing, Immunoglobulin like domain containing	best inferred	0.84	0.00
10747	MASP2	mannan binding lectin serine peptidase 2	Sushi domain containing	inferred	0.19	0.17
56106	PCDHGA10	protocadherin gamma subfamily A, 10		inferred	0.20	0.15
10746	MAP3K2	mitogen-activated protein kinase kinase kinase 2	Mitogen-activated protein kinase kinase kinases	best inferred	0.72	0.00
56107	PCDHGA9	protocadherin gamma subfamily A, 9		inferred	0.04	0.39
341405	ANKRD33	ankyrin repeat domain 33	Ankyrin repeat domain containing	not inferred		
10749	KIF1C	kinesin family member 1C	Kinesins	best inferred	0.83	0.00
56100	PCDHGB6	protocadherin gamma subfamily B, 6		inferred	-0.03	0.57
56101	PCDHGB5	protocadherin gamma subfamily B, 5		inferred	0.23	0.13
56102	PCDHGB3	protocadherin gamma subfamily B, 3		not inferred		
389422	C6orf183	chromosome 6 open reading frame 183		not inferred		
56103	PCDHGB2	protocadherin gamma subfamily B, 2		not inferred		
10741	RBBP9	RB binding protein 9, serine hydrolase		inferred	0.33	0.02
56108	PCDHGA7	protocadherin gamma subfamily A, 7		not inferred		
10740	RFPL1S	RFPL1 antisense RNA 1		best inferred	0.71	0.00
56109	PCDHGA6	protocadherin gamma subfamily A, 6		not inferred		
10743	RAI1	retinoic acid induced 1		inferred	0.05	0.36
10742	RAI2	retinoic acid induced 2		best inferred	0.83	0.00
114884	OSBPL10	oxysterol binding protein like 10	Oxysterol binding proteins, Pleckstrin homology domain containing	best inferred	0.56	0.01
114885	OSBPL11	oxysterol binding protein like 11	Oxysterol binding proteins, Pleckstrin homology domain containing	best inferred	0.76	0.00
317772	HIST2H2AB	histone cluster 2 H2A family member b	Histones	not inferred		
56110	PCDHGA5	protocadherin gamma subfamily A, 5		not inferred		
83729	INHBE	inhibin beta E subunit		inferred	0.37	0.01
100996337	LOC100996337	transmembrane protein 191A		not inferred		
10712	FAM189B	family with sequence similarity 189 member B		best inferred	0.72	0.00
57446	NDRG3	NDRG family member 3		best inferred	0.70	0.00
83734	ATG10	autophagy related 10	Autophagy related	inferred	0.01	0.54
57447	NDRG2	NDRG family member 2		best inferred	0.91	0.00
83733	SLC25A18	solute carrier family 25 member 18	Solute carriers	not inferred		
100996331	POTEB	POTE ankyrin domain family member B	Ankyrin repeat domain containing, POTE ankyrin domain containing	not inferred		
10714	POLD3	DNA polymerase delta 3, accessory subunit	DNA polymerases, Protein phosphatase 1 regulatory subunits	best inferred	0.72	0.00
57448	BIRC6	baculoviral IAP repeat containing 6	Ubiquitin conjugating enzymes E2, Baculoviral IAP repeat containing	not inferred		
126868	MAB21L3	mab-21 like 3		not inferred		
10713	USP39	ubiquitin specific peptidase 39	Ubiquitin specific peptidases	best inferred	0.68	0.00
57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	Pleckstrin homology domain containing	not inferred		
10716	TBR1	T-box, brain 1	T-boxes	best inferred	0.38	0.03
56111	PCDHGA4	protocadherin gamma subfamily A, 4		not inferred		
10715	CERS1	ceramide synthase 1	CERS class homeoboxes	not inferred		
56112	PCDHGA3	protocadherin gamma subfamily A, 3		best inferred	0.65	0.01
10718	NRG3	neuregulin 3		not inferred		
56113	PCDHGA2	protocadherin gamma subfamily A, 2		not inferred		
83732	RIOK1	RIO kinase 1		not inferred		
10717	AP4B1	adaptor related protein complex 4 beta 1 subunit		not inferred		
56114	PCDHGA1	protocadherin gamma subfamily A, 1		inferred	0.35	0.07
388125	C2CD4B	C2 calcium dependent domain containing 4B	C2 domain containing	not inferred		
317781	DDX51	DEAD-box helicase 51	DEAD-box helicases	inferred	0.27	0.11
83719	YPEL3	yippee like 3	Yippee like family	not inferred		
57451	TENM2	teneurin transmembrane protein 2		not inferred		
56121	PCDHB15	protocadherin beta 15		not inferred		
57452	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	Polypeptide N-acetylgalactosaminyltransferases	not inferred		
114876	OSBPL1A	oxysterol binding protein like 1A	Ankyrin repeat domain containing, Oxysterol binding proteins	best inferred	0.84	0.00
388121	TNFAIP8L3	TNF alpha induced protein 8 like 3		not inferred		
83716	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2		best inferred	0.79	0.00
414919	C8orf82	chromosome 8 open reading frame 82		not inferred		
83715	ESPN	espin	Ankyrin repeat domain containing, Deafness associated genes	inferred	0.18	0.20
114879	OSBPL5	oxysterol binding protein like 5	Oxysterol binding proteins, Pleckstrin homology domain containing	not inferred		
414918	DENND6B	DENN domain containing 6B	DENN/MADD domain containing	best inferred	0.55	0.01
10723	SLC12A7	solute carrier family 12 member 7	Solute carriers	best inferred	0.68	0.00
56126	PCDHB10	protocadherin beta 10		not inferred		
83723	FAM57B	family with sequence similarity 57 member B	TLC domain containing	not inferred		
126859	AXDND1	axonemal dynein light chain domain containing 1		not inferred		
56127	PCDHB9	protocadherin beta 9		not inferred		
57458	TMCC3	transmembrane and coiled-coil domain family 3	Transmembrane and coiled-coil domain containing	not inferred		
390429	OR4N2	olfactory receptor family 4 subfamily N member 2	Olfactory receptors, family 4	not inferred		
10725	NFAT5	nuclear factor of activated T-cells 5	Nuclear factors of activated T-cells	best inferred	0.47	0.01
56128	PCDHB8	protocadherin beta 8		inferred	0.03	0.43
57459	GATAD2B	GATA zinc finger domain containing 2B	GATA zinc finger domain containing	not inferred		
10724	MGEA5	meningioma expressed antigen 5 (hyaluronidase)		best inferred	0.85	0.00
56129	PCDHB7	protocadherin beta 7		not inferred		
56122	PCDHB14	protocadherin beta 14		not inferred		
57453	DSCAML1	DS cell adhesion molecule like 1	Fibronectin type III domain containing, I-set domain containing, Immunoglobulin like domain containing	not inferred		
114880	OSBPL6	oxysterol binding protein like 6	Oxysterol binding proteins	not inferred		
388115	C15orf52	chromosome 15 open reading frame 52		not inferred		
10726	NUDC	nuclear distribution C, dynein complex regulator	NudC family	best inferred	0.78	0.00
56123	PCDHB13	protocadherin beta 13		inferred	0.31	0.06
114881	OSBPL7	oxysterol binding protein like 7	Oxysterol binding proteins, Pleckstrin homology domain containing	inferred	0.35	0.04
401612	SLC25A53	solute carrier family 25 member 53	Solute carriers	not inferred		
56124	PCDHB12	protocadherin beta 12		best inferred	0.65	0.00
57455	REXO1	RNA exonuclease 1 homolog	Exonucleases	not inferred		
114882	OSBPL8	oxysterol binding protein like 8	Oxysterol binding proteins, Pleckstrin homology domain containing	best inferred	0.76	0.00
10728	PTGES3	prostaglandin E synthase 3		best inferred	0.69	0.00
56125	PCDHB11	protocadherin beta 11		best inferred	0.57	0.01
57456	KIAA1143	KIAA1143		not inferred		
114883	OSBPL9	oxysterol binding protein like 9	Oxysterol binding proteins, Pleckstrin homology domain containing	best inferred	0.75	0.00
10721	POLQ	DNA polymerase theta	DNA polymerases	best inferred	0.66	0.00
10720	UGT2B11	UDP glucuronosyltransferase family 2 member B11	UDP glucuronosyltransferases	not inferred		
101930123	LOC101930123	eukaryotic elongation factor 2 kinase		not inferred		
136259	KLF14	Kruppel like factor 14	Zinc fingers C2H2-type, Kruppel like factors	not inferred		
162540	SPPL2C	signal peptide peptidase like 2C		not inferred		
124274	GPR139	G protein-coupled receptor 139	G protein-coupled receptors, Class A orphans	not inferred		
317754	POTED	POTE ankyrin domain family member D	Ankyrin repeat domain containing, POTE ankyrin domain containing	not inferred		
317749	DHRS4L2	dehydrogenase/reductase 4 like 2	Short chain dehydrogenase/reductase superfamily	not inferred		
151888	BTLA	B and T lymphocyte associated	CD molecules, Immunoglobulin like domain containing	not inferred		
151887	CCDC80	coiled-coil domain containing 80		not inferred		
729085	FAM198A	family with sequence similarity 198 member A		not inferred		
136263	SSMEM1	serine rich single-pass membrane protein 1		not inferred		
101929141	LOC101929141	coiled-coil domain-containing protein 144B-like		not inferred		
107984648	LOC107984648	uncharacterized LOC107984648		not inferred		
148254	ZNF555	zinc finger protein 555	Zinc fingers C2H2-type	not inferred		
317762	CCDC85C	coiled-coil domain containing 85C		inferred	0.01	0.49
317761	C14orf39	chromosome 14 open reading frame 39		not inferred		
100271715	ARHGEF33	Rho guanine nucleotide exchange factor 33	Rho guanine nucleotide exchange factors	not inferred		
105373091	LOC105373091	atherin-like		not inferred		
148252	DIRAS1	DIRAS family GTPase 1	RAS type GTPase family	not inferred		
107984640	LOC107984640	translation initiation factor IF-2-like		not inferred		
107985971	LOC107985971	uncharacterized LOC107985971		not inferred		
199834	LCE4A	late cornified envelope 4A	Late cornified envelope proteins	not inferred		
388135	C15orf59	chromosome 15 open reading frame 59		not inferred		
107984678	LOC107984678	uncharacterized LOC107984678		not inferred		
730098	LOC730098	uncharacterized LOC730098		not inferred		
222950	NYAP1	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1		not inferred		
730094	C16orf52	chromosome 16 open reading frame 52		not inferred		
148266	ZNF569	zinc finger protein 569	Zinc fingers C2H2-type	not inferred		
148268	ZNF570	zinc finger protein 570	Zinc fingers C2H2-type	not inferred		
124245	ZC3H18	zinc finger CCCH-type containing 18	Zinc fingers CCCH-type	not inferred		
150572	SMYD1	SET and MYND domain containing 1	Zinc fingers MYND-type, Lysine methyltransferases, SET domain containing	not inferred		
136288	C7orf57	chromosome 7 open reading frame 57		not inferred		
199800	ADM5	adrenomedullin 5 (putative)		not inferred		
730087	ZNF726	zinc finger protein 726	Zinc fingers C2H2-type	not inferred		
163882	CNST	consortin, connexin sorting protein	Protein phosphatase 1 regulatory subunits	not inferred		
389493	NUPR2	nuclear protein 2, transcriptional regulator		not inferred		
221613	HIST1H2AA	histone cluster 1 H2A family member a	Histones	not inferred		
729092	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	ArfGAPs, Ankyrin repeat domain containing, Pleckstrin homology domain containing, BAR-PH domain containing	not inferred		
388199	PRR25	proline rich 25		not inferred		
22794	CASC3	cancer susceptibility 3	Exon junction complex	landmark		
22795	NID2	nidogen 2		best inferred	0.85	0.00
22796	COG2	component of oligomeric golgi complex 2	Components of oligomeric golgi complex	landmark		
22797	TFEC	transcription factor EC	Basic helix-loop-helix proteins	best inferred	0.49	0.03
22798	LAMB4	laminin subunit beta 4	Laminin subunits	best inferred	0.40	0.03
317705	VN1R5	vomeronasal 1 receptor 5 (gene/pseudogene)	Vomeronasal receptors	not inferred		
317703	VN1R4	vomeronasal 1 receptor 4	Vomeronasal receptors	not inferred		
317702	VN1R3	vomeronasal 1 receptor 3 (gene/pseudogene)	Vomeronasal receptors	not inferred		
138882	OR1N2	olfactory receptor family 1 subfamily N member 2	Olfactory receptors, family 1	not inferred		
138883	OR1N1	olfactory receptor family 1 subfamily N member 1	Olfactory receptors, family 1	not inferred		
138881	OR1L8	olfactory receptor family 1 subfamily L member 8	Olfactory receptors, family 1	not inferred		
222967	RSPH10B	radial spoke head 10 homolog B		not inferred		
136227	COL26A1	collagen type XXVI alpha 1 chain	Collagens, EMI domain containing	not inferred		
219333	USP12	ubiquitin specific peptidase 12	Ubiquitin specific peptidases	best inferred	0.67	0.00
222962	SLC29A4	solute carrier family 29 member 4	Solute carriers	not inferred		
148213	ZNF681	zinc finger protein 681	Zinc fingers C2H2-type	not inferred		
317719	KLHL10	kelch like family member 10	Kelch like, BTB domain containing	not inferred		
148206	ZNF714	zinc finger protein 714	Zinc fingers C2H2-type	not inferred		
163859	SDE2	SDE2 telomere maintenance homolog		not inferred		
219348	PLAC9	placenta specific 9		not inferred		
730051	ZNF814	zinc finger protein 814	Zinc fingers C2H2-type	inferred	0.32	0.09
221662	RBM24	RNA binding motif protein 24	RNA binding motif containing	not inferred		
148223	C19orf25	chromosome 19 open reading frame 25		not inferred		
10799	RPP40	ribonuclease P/MRP subunit p40		best inferred	0.83	0.00
10791	VAMP5	vesicle associated membrane protein 5	Vesicle associated membrane proteins	best inferred	0.76	0.00
136242	PRSS37	protease, serine 37	Proteases, serine	not inferred		
10794	ZNF460	zinc finger protein 460	Zinc fingers C2H2-type	best inferred	0.41	0.02
10793	ZNF273	zinc finger protein 273	Zinc fingers C2H2-type	best inferred	0.72	0.00
10795	ZNF268	zinc finger protein 268	Zinc fingers C2H2-type	best inferred	0.47	0.01
10798	OR5I1	olfactory receptor family 5 subfamily I member 1	Olfactory receptors, family 5	inferred	0.20	0.21
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase		landmark		
162515	SLC16A11	solute carrier family 16 member 11	Solute carriers	not inferred		
101930111	LOC101930111	putative exonuclease GOR		not inferred		
162517	FBXO39	F-box protein 39	F-boxes other	not inferred		
729059	C1orf234	chromosome 1 open reading frame 234		not inferred		
162514	TRPV3	transient receptor potential cation channel subfamily V member 3	Transient receptor potential cation channels, Ankyrin repeat domain containing	not inferred		
149563	C1orf64	chromosome 1 open reading frame 64		not inferred		
317701	VN1R2	vomeronasal 1 receptor 2	Vomeronasal receptors	not inferred		
220323	OAF	out at first homolog		not inferred		
221656	KDM1B	lysine demethylase 1B	Zinc fingers CW-type, Lysine demethylases	not inferred		
148229	ATP8B3	ATPase phospholipid transporting 8B3	ATPase phospholipid transporting	inferred	0.17	0.29
101930119	LOC101930119	uncharacterized LOC101930119		not inferred		
151871	DPPA2	developmental pluripotency associated 2		not inferred		
101930115	LOC101930115	von Willebrand factor A domain-containing protein 3A		not inferred		
93035	PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1		not inferred		
56097	PCDHGC5	protocadherin gamma subfamily C, 5		not inferred		
161176	SYNE3	spectrin repeat containing nuclear envelope family member 3	Spectrin repeat containing nuclear envelope family	not inferred		
56098	PCDHGC4	protocadherin gamma subfamily C, 4		not inferred		
56099	PCDHGB7	protocadherin gamma subfamily B, 7		not inferred		
93034	NT5C1B	5'-nucleotidase, cytosolic IB	5'-nucleotidases	not inferred		
221687	RNF182	ring finger protein 182	Ring finger proteins	not inferred		
220359	TIGD3	tigger transposable element derived 3	Helix-turn-helix CENPB type domain containing, DNA transposon derived genes	not inferred		
283927	NUDT7	nudix hydrolase 7	Nudix hydrolase family	inferred	-0.03	0.53
653073	GOLGA8J	golgin A8 family member J		not inferred		
256302	NATD1	N-acetyltransferase domain containing 1		not inferred		
102725241	LOC102725241	putative neutral ceramidase C		not inferred		
221692	PHACTR1	phosphatase and actin regulator 1	Phosphatase and actin regulators	best inferred	0.62	0.00
81050	OR5AC2	olfactory receptor family 5 subfamily AC member 2	Olfactory receptors, family 5	not inferred		
199786	FAM129C	family with sequence similarity 129 member C		not inferred		
256309	CCDC110	coiled-coil domain containing 110		not inferred		
100101629	GAGE8	G antigen 8		not inferred		
95681	CEP41	centrosomal protein 41		inferred	0.24	0.15
162494	RHBDL3	rhomboid like 3	EF-hand domain containing, Rhomboid family	not inferred		
283911	LOC283911	uncharacterized LOC283911		not inferred		
653067	XAGE1E	X antigen family member 1E		not inferred		
105373132	LOC105373132	uncharacterized LOC105373132		not inferred		
197131	UBR1	ubiquitin protein ligase E3 component n-recognin 1	Ubiquitin protein ligase E3 component n-recognins	not inferred		
105373133	LOC105373133	uncharacterized LOC105373133		not inferred		
197135	PATL2	PAT1 homolog 2		not inferred		
93058	COQ10A	coenzyme Q10A		not inferred		
161198	CLEC14A	C-type lectin domain family 14 member A	C-type lectin domain containing	not inferred		
198437	LKAAEAR1	LKAAEAR motif containing 1		not inferred		
220382	FAM181B	family with sequence similarity 181 member B		not inferred		
105373154	LOC105373154	myosin heavy chain IB-like		not inferred		
199777	ZNF626	zinc finger protein 626	Zinc fingers C2H2-type	not inferred		
81061	OR11H1	olfactory receptor family 11 subfamily H member 1	Olfactory receptors, family 11	not inferred		
653082	ZDHHC11B	zinc finger DHHC-type containing 11B	Zinc fingers DHHC-type	not inferred		
257629	ANKS4B	ankyrin repeat and sterile alpha motif domain containing 4B	Ankyrin repeat domain containing, Sterile alpha motif domain containing	not inferred		
267004	PGBD3	piggyBac transposable element derived 3	DNA transposon derived genes	not inferred		
102725209	LOC102725209	uncharacterized LOC102725209		not inferred		
149499	LRRC71	leucine rich repeat containing 71		not inferred		
162466	PHOSPHO1	phosphoethanolamine/phosphocholine phosphatase	HAD Asp-based non-protein phosphatases	not inferred		
255022	CALHM1	calcium homeostasis modulator 1		not inferred		
162461	TMEM92	transmembrane protein 92		not inferred		
102725207	LOC102725207	annexin A8-like		not inferred		
199746	U2AF1L4	U2 small nuclear RNA auxiliary factor 1 like 4	RNA binding motif containing	not inferred		
267012	DAOA	D-amino acid oxidase activator		not inferred		
107984728	LOC107984728	serine-aspartate repeat-containing protein I-like		not inferred		
81099	OR4F17	olfactory receptor family 4 subfamily F member 17	Olfactory receptors, family 4	not inferred		
107984729	LOC107984729	putative ubiquitin-conjugating enzyme E2Q2-like protein		not inferred		
199745	THAP8	THAP domain containing 8	THAP domain containing	not inferred		
150472	CBWD2	COBW domain containing 2		not inferred		
107984722	LOC107984722	golgin subfamily A member 6-like protein 6		not inferred		
148170	CDC42EP5	CDC42 effector protein 5	CDC42 effector proteins	not inferred		
256364	EML3	echinoderm microtubule associated protein like 3	WD repeat domain containing	landmark		
163786	SASS6	SAS-6 centriolar assembly protein		not inferred		
220388	CCDC89	coiled-coil domain containing 89		not inferred		
163782	KANK4	KN motif and ankyrin repeat domains 4	Ankyrin repeat domain containing, KN motif and ankyrin repeat domain containing	not inferred		
283953	TMEM114	transmembrane protein 114		not inferred		
255027	MPV17L	MPV17 mitochondrial inner membrane protein like		not inferred		
256356	GK5	glycerol kinase 5 (putative)	Glycerol kinases	not inferred		
283951	C16orf91	chromosome 16 open reading frame 91		not inferred		
267002	PGBD2	piggyBac transposable element derived 2	DNA transposon derived genes	not inferred		
150483	TEKT4	tektin 4	Tektins	not inferred		
100294391	LOC100294391	uncharacterized LOC100294391		not inferred		
107984751	LOC107984751	uncharacterized LOC107984751		not inferred		
93099	DMKN	dermokine		not inferred		
107984752	LOC107984752	golgin subfamily A member 6-like protein 2		not inferred		
282617	IFNL3	interferon lambda 3	Interferons	not inferred		
282618	IFNL1	interferon lambda 1	Interferons	not inferred		
283948	NHLRC4	NHL repeat containing 4		not inferred		
256329	LMNTD2	lamin tail domain containing 2		not inferred		
282616	IFNL2	interferon lambda 2	Interferons	not inferred		
199720	GGN	gametogenetin		not inferred		
107984745	LOC107984745	uncharacterized mitochondrial protein AtMg00860-like		not inferred		
107984742	LOC107984742	formin-2-like		not inferred		
93082	NEURL3	neuralized E3 ubiquitin protein ligase 3		not inferred		
161145	TMEM229B	transmembrane protein 229B		not inferred		
161142	FAM71D	family with sequence similarity 71 member D		not inferred		
148198	ZNF98	zinc finger protein 98	Zinc fingers C2H2-type	not inferred		
283933	ZNF843	zinc finger protein 843	Zinc fingers C2H2-type	not inferred		
93081	TEX30	testis expressed 30		best inferred	0.58	0.00
199731	CADM4	cell adhesion molecule 4	V-set domain containing, C2-set domain containing, Immunoglobulin like domain containing	best inferred	0.72	0.00
9103	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)	CD molecules	best inferred	0.74	0.00
9100	USP10	ubiquitin specific peptidase 10	Ubiquitin specific peptidases	best inferred	0.79	0.00
9101	USP8	ubiquitin specific peptidase 8	Ubiquitin specific peptidases	best inferred	0.63	0.00
644994	SMIM23	small integral membrane protein 23		not inferred		
9107	MTMR6	myotubularin related protein 6	Myotubularins, Phosphoinositide phosphatases	best inferred	0.71	0.00
643664	SLC35G6	solute carrier family 35 member G6	Solute carriers	not inferred		
9104	RGN	regucalcin		best inferred	0.81	0.00
100996318	LOC100996318	uncharacterized LOC100996318		not inferred		
84959	UBASH3B	ubiquitin associated and SH3 domain containing B	Protein phosphatases	not inferred		
255061	TAC4	tachykinin 4 (hemokinin)	Endogenous ligands	not inferred		
84958	SYTL1	synaptotagmin like 1	Synaptotagmin like tandem C2 proteins	not inferred		
256394	SERPINA11	serpin family A member 11	Serpin peptidase inhibitors	not inferred		
84966	IGSF21	immunoglobin superfamily member 21	V-set domain containing, Immunoglobulin like domain containing	not inferred		
57348	TTYH1	tweety family member 1		best inferred	0.76	0.00
83637	ZMIZ2	zinc finger MIZ-type containing 2	Zinc fingers MIZ-type	best inferred	0.77	0.00
84968	PNMA6A	paraneoplastic Ma antigen family member 6A	Paraneoplastic Ma antigens	not inferred		
282679	AQP11	aquaporin 11	Aquaporins	not inferred		
83636	C19orf12	chromosome 19 open reading frame 12		not inferred		
84967	LSM10	LSM10, U7 small nuclear RNA associated		not inferred		
57343	ZNF304	zinc finger protein 304	Zinc fingers C2H2-type	best inferred	0.65	0.00
84962	AJUBA	ajuba LIM protein	Ajuba family	not inferred		
84961	FBXL20	F-box and leucine rich repeat protein 20	F-box and leucine rich repeat proteins	not inferred		
255057	CBARP	CACN beta subunit associated regulatory protein		inferred	0.24	0.11
84964	ALKBH6	alkB homolog 6	Alkylation repair homologs	not inferred		
84960	CCDC183	coiled-coil domain containing 183		not inferred		
642326	CCNYL3	cyclin Y-like 3		not inferred		
9113	LATS1	large tumor suppressor kinase 1		best inferred	0.40	0.03
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1	V-type ATPases	best inferred	0.83	0.00
9111	NMI	N-myc and STAT interactor		best inferred	0.84	0.00
9112	MTA1	metastasis associated 1	GATA zinc finger domain containing, Myb/SANT domain containing, NuRD complex	landmark		
9117	SEC22C	SEC22 homolog C, vesicle trafficking protein	SNAREs	not inferred		
9118	INA	internexin neuronal intermediate filament protein alpha	Intermediate filaments Type IV	best inferred	0.67	0.00
414899	BLID	BH3-like motif containing, cell death inducer		not inferred		
401565	FAM166A	family with sequence similarity 166 member A		not inferred		
401563	C9orf139	chromosome 9 open reading frame 139		not inferred		
401562	LCNL1	lipocalin like 1		not inferred		
84948	TIGD5	tigger transposable element derived 5	Helix-turn-helix CENPB type domain containing, DNA transposon derived genes	not inferred		
9110	MTMR4	myotubularin related protein 4	Zinc fingers FYVE-type, Myotubularins, Phosphoinositide phosphatases	best inferred	0.64	0.00
84947	SERAC1	serine active site containing 1		not inferred		
84955	NUDCD1	NudC domain containing 1	NudC family	not inferred		
84954	MPND	MPN domain containing		not inferred		
